Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,Longitude,Depth_m,Deploy_Date,Recovery_Date,Status
Wake_S_07,58-160402,651,NULL,19-22.324 N,166-69.378 E,620,4/2/2016,5/23/2017,R
Wake_S_08,146-170422,831,2.86,19-22.424 N,166-69.260 E,882,4/22/2017,6/3/2018,R
WAT_BC_01,124-160420,814,2.84,39-11.463 N,72-13.722 W,1000,4/20/2016,NULL,R
WAT_BC_02,123-170630,876,2.86,39-11.430 N,72-13.628 W,1000,6/30/2017,6/3/2018,R
WAT_BC_03,117-180603,802,2.87,39-11.515 N,72-13.641 W,NULL,6/3/2018,5/19/2019,R
WAT_BP_01,114-160428,810,2.84,32-06.362 N,77-05.659 W,945,4/28/2016,6/27/2017,R
WAT_BP_02,121-170627,842,2.86,32-06.417 N,77-05.406 W,941,6/27/2017,6/28/2018,R
WAT_BP_03,115-180628,879,2.87,32-06.316 N,77-05.440 W,940,6/28/2018,6/17/2019,R
WAT_BR_01,133-180725,860,2.87,40-01.967 N,67-59.301 W,2085,7/25/2018,8/17/2018,R
WAT_BS_01,121-160427,815,2.84,30-35.027 N,77-23.443 W,1005,4/27/2016,6/26/2017,R
WAT_BS_02,128-170626,879,2.86,30-34.982 N,77-23.426 W,1005,6/26/2017,6/27/2018,R
WAT_BS_03,120-180627,841,2.87,30-34.977 N,77-23.401 W,1000,6/27/2018,6/16/2019,R
WAT_GS_01,120-160429,813,2.84,33-39.938 N,76-00.083 W,953,4/28/2016,6/27/2017,R
WAT_GS_02,114-170627,878,2.86,33-40.021 N,75-59.968 W,930,6/27/2017,6/28/2018,R
WAT_GS_03,128-180628,844,2.87,33-40.195 N,75-59.862 W,940,6/28/2018,6/17/2019,R
WAT_HZ_01,34-150626,734,2.02U,41-03.715 N,66-21.092 W,845,6/26/2015,4/22/2016,R
WAT_HZ_02,102-160422,803,2.84,41-03.710 N,66-21.095 W,845,4/22/2016,7/8/2017,R
WAT_HZ_03,137-170708,865,2.86,41-03.699 N,66-21.093 W,1090,7/8/2017,6/11/2018,R
WAT_HZ_04,149-180611,810,2.87,41-03.699 N,66-21.093 W,1090,6/11/2018,NULL,R
WAT_NC_01,72-150426,740,2.02U,39-49.949 N,69-58.928 W,977,4/26/2015,4/21/2016,R
WAT_NC_02,130-160421,811,2.84,39-49.943 N,69-58.926 W,977,4/21/2016,NULL,R
WAT_NC_03,136-170716,856,2.86,39-49.955 N,69-58.915 W,919,7/16/2017,6/9/2018,R
WAT_NC_04,129-180609,811,2.87,39-49.977 N,69-58.916 W,NULL,6/9/2018,NULL,R
WAT_OC_01,74-150425,707,2.02U,40-15.798 N,67-59.174 W,1100,4/25/2015,4/23/2016,R
WAT_OC_02,125-160424,820,2.84,40-15.799 N,67-59.174 W,NULL,4/23/2016,7/7/2017,R
WAT_OC_03,148-170707,857,2.86,40-15.800 N,67-59.180 W,790,7/7/2017,6/9/2018,R
WAT_OC_04,110-180610,816,2.87,40-13.800 N,67-58.679 W,NULL,6/10/2018,NULL,R
WAT_WC_01,123-160420,802,2.84,38-22.449 N,73-22.241 W,1000,4/20/2016,6/29/2017,R
WAT_WC_02,110-170629,NULL,2.86,38-22.431 N,73-22.209 W,1000,6/29/2017,6/2/2018,R
WAT_WC_03,108-180602,820,2.87,38-22.402 N,73-22.191 W,974,6/2/2018,5/19/2019,R
WG02,NULL,NULL,NULL,19-58.560 N,155-52.800 W,8,10/9/2009,10/13/2009,R
WG03,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,R
WG04,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,R
WG05,40-100727,569,2.01A,SIO pier,NULL,0,7/27/2010,TBD,R
WG06,40-100729,NULL,2.01A,SIO pier,NULL,0,7/29/2010,TBD,R
WG09,40-110621,569,NULL,1 m off pier,over cliff,NULL,NULL,6/21/2011,R
