Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,Longitude,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
Hawaii_K_25,134-170430,692,2.6,19-34.983 N,156-00.951 W,676,2017-05-01,2017-07-10,R,320,12,5,0,2017-05-01,00:00:00,2017-07-10,20:52:22,70.9
Hawaii_K_26,122-170710,716,2.84,NULL,NULL,NULL,2017-07-11,2017-10-24,R,200,0,0,1,2017-07-12,00:00:00,2017-10-25,01:08:51,105
Hawaii_K_27,150-171024,691,NULL,19-34.979 N,156-00.953 W,730,2017-10-24,2018-04-24,R,200,0,0,1,2018-10-26,00:00:00,2018-04-25,02:51:21,181.1
HOKE01-A,17-080913,454,1.17*,32-06.370 N,126-54.580 W,770,2008-09-13,2009-06-06,R,200,35,5,0,2008-09-15,00:00:00,2009-06-06,14:13:13,264
Howland_A_01,103-170307,675,2.86,00.82568 N,176-64.488 W,780,2017-04-11,NULL,R,200,6.25,5,0,2017-04-20,00:00:00,2018-01-28,13:07:30,283.5
JAX01-A,35-090330,471,2.00S,30-16.626 N,80-12.948 W,82,2009-03-30,2009-09-16,R,200,15,5,1,2009-04-02,00:00:00,2009-05-25,01:18:51,57
JAX01-B,34-090330,478,2.00S,30-15.492 N,80-25.692 W,37,2009-03-30,2009-09-16,R,200,15,5,0,2009-04-02,00:00:00,2009-09-05,19:33:00,156
JAX02-A,34-091609,478,2.00S,30-16.831 N,80-12.962 W,83,2009-09-16,2010-02-21,R,200,15,5,1,2009-09-16,18:00:00,2009-12-27,11:45:00,102
JAX03-A,35-100221,471,2.01A,30-16-520 N,80-12.551 W,89,2010-02-21,2010-08-26,R,200,15,5,0,2010-02-22,00:00:00,2010-07-30,16:01:15,158
JAX04-B,34-100309,577,2.01A,30-15-550 N,80-25.540 W,38,2010-03-09,2010-08-26,R,200,15,5,0,2010-03-09,11:00:00,2010-08-19,05:48:00,162.75
JAX05-A,34-100826,577,2.01A,30-16.092 N,80-12.537 W,91,2010-08-26,2011-02-01,R,200,15,5,0,2010-08-26,18:00:00,2011-01-25,10:46:15,152
JAX05-B,35-100826,471,2.01A,30-15.425 N,80-25.962 W,37,2010-08-26,2011-02-01,R,200,15,5,0,2010-08-27,00:00:00,2011-02-01,15:46:15,158
JAX06-A,35-110201,584,2.01A,30-16.691 N,80-13.251 W,91,2011-02-01,2011-07-14,R,200,15,5,0,2011-02-01,21:00:00,2011-07-14,12:30:00,163
JAX06-B,34-110202,577,NULL,30-15.461 N,80-25.669 W,37,2011-02-02,2011-07-14,R,200,15,5,0,2011-02-02,01:00:00,2011-07-14,15:33:45,162
JAX08-A,35-120124,639,2.02S,30-17.101 N,80-13.285 W,91,2012-01-24,NULL,L,200,0,0,0,NULL,NULL,NULL,NULL,NULL
JAX09-C,83-130509,676,2.02S,30-19.972 N,80-12.043 W,94,2013-05-12,2014-02-17,R,200,0,0,1,2013-05-13,00:00:00,2013-06-20,14:27:30,38
JAX10-C,69-140217,673,2.02U,30-19.586 N,80-12.296 W,88,2014-02-17,2014-08-23,R,200,0,0,1,2014-02-17,14:00:00,2014-08-23,14:17:36,187
JAX11-D,43-140823,681,2.02S,30-09.036 N,79-46.203 W,800,2014-08-23,2015-06-02,R,200,0,0,1,2014-08-23,20:00:00,2015-05-29,20:42:30,279
JAX_D_12,27-150702,714,2.02U,30-08.936 N,79-46.263 W,750,2015-07-02,2016-04-26,R,200,0,0,1,2015-07-03,00:00:00,2015-11-04,18:15:06,124.8
JAX_D_13,128-160426,808,2.84,30-09.110 N,79-46.213 W,736,2016-04-26,2017-06-25,R,200,0,0,1,2016-04-26,18:00:00,2017-06-25,19:23:35,425.1
JAX_D_14,116-170625,841,2.86,30-09.161 N,79-46.193 W,740,2017-06-25,2018-06-26,R,200,0,0,1,2017-06-25,18:03:57,2017-10-28,17:27:48,125
Kauai01-A,41-091002,564,2.01A,21-57.164 N,159-53.238 W,706,2009-10-07,2010-06-03,R,200,20,5,0,2009-10-08,00:00:00,2010-05-13,01:00:00,218
Kauai02-A,26-100603,593,NULL,21-57.224 N,159-53.383 W,720,2010-06-03,2010-08-20,R,200,0,0,0,2010-06-04,00:00:00,2010-08-20,01:43:00,78
Kauai_A_05,127-070716,736,2.84,21-56.952 N,159-53.273 W,717,2016-07-07,2017-09-12,R,200,7,5,1,2016-07-09,00:00:00,2017-08-09,00:58:15,396
King01-A,44-111103,593,NULL,06-21.908 N,162-17.539 W,859,2011-11-03,2012-05-09,R,200,0,0,0,2011-10-20,00:00:00,2012-03-11,06:42:36,144
LJ02-P,31-090617,493,2.01A,32-53.429 N,117-23.825 W,550,2009-06-17,2009-06-19,R,32,0,0,0,2009-06-17,19:00:00,2009-06-19,18:42:00,2
LJ03-P,17-090619,560,1.17*,32-53.630 N,117-22.716 W,550,2009-06-19,2009-07-02,R,200,0,0,0,2009-06-19,21:00:00,2009-07-03,01:17:00,14
LJ07-P,19-100226,588,NULL,32-53.576 N,117-22.756 W,470,2010-02-26,2010-04-09,R,200,0,0,0,2010-02-27,00:00:00,2010-03-23,23:08:41,24
LJ08-T,39-102709,587,2.02R_SSD,32-52.350 N,117-16.340 W,64,2010-07-27,2010-08-05,R,200,0,0,0,2010-07-27,20:05:00,2010-08-05,20:51:15,9
LJ09-P,33-101015,587,2.02R,32-53.550 N,117-22.859 W,478,2010-10-15,2010-11-15,R,200,0,0,0,2010-10-15,21:00:00,2010-11-15,23:28:44,31.1
LJ11-P_59,59-110425,NULL,2.02C,32-53.550 N,117-22.859 W,480,2011-04-26,2011-05-25,R,200,0,0,0,2011-04-26,19:00:00,2011-05-01,09:00:00,4.6
LJ11-P_60,60-110425,NULL,2.02C,32-53.550 N,117-22.859 W,480,2011-04-26,2011-05-25,R,200,0,0,0,2011-04-26,19:00:00,2011-05-03,09:00:00,6.6
LJ15-P,17-110728,645,2.05A,32-53.918 N,117-22.594 W,480,2011-07-28,NULL,R,320,0,0,0,2011-07-28,19:00:00,2011-08-04,22:45:10,8
LJ16-P,63-110804,620,2.02E,32-53.734 N,117-22.457 W,480,2011-08-04,2011-11-18,R,200,0,0,0,NULL,NULL,NULL,NULL,NULL
LJ17_P-A,70-120921,680,NULL,32-53.734 N,117-22.457 W,480,2012-09-21,2012-10-12,R,200,0,0,0,2012-09-21,21:00:00,2012-10-12,02:51:15,21
LJ17_P-B,70-120921,680,2.02,32-53.750 N,117-22.449 W,480,2012-09-21,2012-10-10,R,200,0,0,0,2012-09-21,00:17:00,2012-10-12,04:46:15,20
